title,author,downloads
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,129228
"Moby Dick; Or, The Whale",Herman Melville,124050
Romeo and Juliet,William Shakespeare,82917
Pride and Prejudice,Jane Austen,74206
Alice's Adventures in Wonderland,Lewis Carroll,64751
A Room with a View,E. M. Forster,57060
Beowulf,Unknown,56799
The Complete Works of William Shakespeare,William Shakespeare,56479
Middlemarch,George Eliot,55562
"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,53903
Dracula,Bram Stoker,49595
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,49191
How to Observe,Harriet Martineau,46844
The Blue Castle,L. M. Montgomery,45695
The Enchanted April,Elizabeth Von Arnim,45153
Cranford,Elizabeth Cleghorn Gaskell,40824
The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,40500
Leviathan,Thomas Hobbes,40473
The Expedition of Humphry Clinker,T. Smollett,40329
Twenty years after,Alexandre Dumas and Auguste Maquet,40191
"History of Tom Jones, a Foundling",Henry Fielding,39946
The Adventures of Roderick Random,T. Smollett,39424
Jane Eyre,Charlotte Brontë,39205
My Life — Volume 1,Richard Wagner,38992
The Picture of Dorian Gray,Oscar Wilde,38068
A Modest Proposal,Jonathan Swift,37456
Simple Sabotage Field Manual,United States. Office of Strategic Services,36839
Crime and Punishment,Fyodor Dostoyevsky,36799
The Great Gatsby,F. Scott Fitzgerald,36141
Adventures of Huckleberry Finn,Mark Twain,33821
The Philosophy of Auguste Comte,Lucien Lévy-Bruhl,33604
The Scarlet Letter,Nathaniel Hawthorne,33461
Second Treatise of Government,John Locke,32982
A Tale of Two Cities,Charles Dickens,32329
The Prince,Niccolò Machiavelli,32030
The Yellow Wallpaper,Charlotte Perkins Gilman,30940
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,30324
Metamorphosis,Franz Kafka,30221
Wuthering Heights,Emily Brontë,30089
A Doll's House ,Henrik Ibsen,30042
War and Peace,graf Leo Tolstoy,29865
The Republic,Plato,29695
The Souls of Black Folk,W. E. B. Du Bois,29674
Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,29385
"Society in America, Volume 1 (of 2)",Harriet Martineau,28367
Thus Spake Zarathustra,Friedrich Wilhelm Nietzsche,28206
The Adventures of Sherlock Holmes,Arthur Conan Doyle,28099
The Iliad,Homer,28032
The Confessions of St. Augustine,Bishop of Hippo Saint Augustine,27989
The Importance of Being Earnest,Oscar Wilde,27433
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,27394
The Brothers Karamazov,Fyodor Dostoyevsky,26915
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,26505
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,26344
"Fables of La Fontaine — a New Edition, with Notes",Jean de La Fontaine,26055
The Count of Monte Cristo,Alexandre Dumas and Auguste Maquet,25621
The English Constitution,Walter Bagehot,25446
The eleventh hour in the life of Julia Ward Howe,Maud Howe Elliott,24139
"The Adventures of Tom Sawyer, Complete",Mark Twain,24095
The divine comedy,Dante Alighieri,23995
Anne of Green Gables,L. M. Montgomery,23893
Ulysses,James Joyce,23752
On Liberty,John Stuart Mill,23723
The Legend of Sleepy Hollow,Washington Irving,23681
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",Olaudah Equiano,23539
羹 (Japanese),Jun'ichiro Tanizaki,22763
Autobiography of Benjamin Franklin,Benjamin Franklin,22237
"Right Ho, Jeeves",P. G. Wodehouse,22153
Great Expectations,Charles Dickens,22079
The Odyssey,Homer,21377
White Nights and Other Stories,Fyodor Dostoyevsky,20742
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,19624
On the Origin of Species By Means of Natural Selection,Charles Darwin,19262
Le Morte d'Arthur,Sir Thomas Malory,19098
The Wonderful Wizard of Oz,L. Frank Baum,18832
Democracy in America — Volume 1,Alexis de Tocqueville,18645
Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,18534
